"","County","year","pop_year","ER_annual","OXYCODONE_annual","HYDROCODONE_annual","BUPRENORPHINE_annual","METHADONE_annual","presence","ER_annual_percapita","ER_annual_per100k","OXYCODONE_annual_percapita","OXYCODONE_annual_per100k","HYDROCODONE_annual_percapita","HYDROCODONE_annual_per100k","BUPRENORPHINE_annual_percapita","BUPRENORPHINE_annual_per100k","METHADONE_annual_percapita","METHADONE_annual_per100k","State","StateCode","CountyCode","Deaths","pop_CDC","CrudeRate","deaths_per100k","state","county","full_fips","employment_status_for_the_population_16_years_and_over_total_in_labor_force_civilian_labor_force","employment_status_for_the_population_16_years_and_over_total_in_labor_force_civilian_labor_force_unemployed","gini_index_of_income_inequality_gini_index","median_household_income_in_the_past_12_months_in_2021_inflation_adjusted_dollars_median_household_income_in_the_past_12_months_in_2021_inflationadjusted_dollars","place_of_birth_by_educational_attainment_in_the_united_states_total_high_school_graduate_includes_equivalency","poverty_status_in_the_past_12_months_by_sex_by_age_total","poverty_status_in_the_past_12_months_by_sex_by_age_total_income_in_the_past_12_months_below_poverty_level","presence_of_own_children_under_18_years_by_age_of_own_children_under_18_years_by_employment_status_for_females_20_to_64_years_total","presence_of_own_children_under_18_years_by_age_of_own_children_under_18_years_by_employment_status_for_females_20_to_64_years_total_with_own_children_of_the_householder_under_18_years_under_6_years_only","sex_by_age_by_disability_status_total_female_18_to_34_years_with_a_disability","sex_by_age_by_disability_status_total_female_35_to_64_years_with_a_disability","sex_by_age_by_disability_status_total_female_5_to_17_years_with_a_disability","sex_by_age_by_disability_status_total_female_65_to_74_years_with_a_disability","sex_by_age_by_disability_status_total_female_75_years_and_over_with_a_disability","sex_by_age_by_disability_status_total_female_under_5_years_with_a_disability","sex_by_age_by_disability_status_total_male_18_to_34_years_with_a_disability","sex_by_age_by_disability_status_total_male_35_to_64_years_with_a_disability","sex_by_age_by_disability_status_total_male_5_to_17_years_with_a_disability","sex_by_age_by_disability_status_total_male_65_to_74_years_with_a_disability","sex_by_age_by_disability_status_total_male_75_years_and_over_with_a_disability","sex_by_age_by_disability_status_total_male_under_5_years","sex_by_age_total","sex_by_age_total_female","sex_by_age_total_male","total_population_total","types_of_health_insurance_coverage_by_age_total_19_to_34_years_no_health_insurance_coverage","types_of_health_insurance_coverage_by_age_total_65_years_and_over_no_health_insurance_coverage","types_of_health_insurance_coverage_by_age_total_under_19_years_no_health_insurance_coverage"
"42","LAUDERDALE",2017,92564,35,19681842.94853,17901168.55517,44528861.04,2982305.248,1,0.000378116762456246,37.8116762456246,212.629563853442,21262956.3853442,193.392339950413,19339233.9950413,481.060250637397,48106025.0637397,32.218845858001,3221884.5858001,"Alabama","01","01077",1,92538,NA,NA,"01","077","01077",42280,1993,0.4601,48094,22873,90346,13175,26892,2160,636,2472,277,1199,2323,6,808,2538,373,1426,1421,2523,92556,47988,44568,92556,3271,59,619
"43","LAUDERDALE",2018,92604,43,17315085.37905,15379503.36425,50441574.21,2540954.624,1,0.000464342792967906,46.4342792967906,186.979886171764,18697988.6171764,166.078175502678,16607817.5502678,544.701894194635,54470189.4194635,27.4389294630901,2743892.94630901,"Alabama","01","01077",1,92387,NA,NA,"01","077","01077",42280,1993,0.4601,48094,22873,90346,13175,26892,2160,636,2472,277,1199,2323,6,808,2538,373,1426,1421,2523,92556,47988,44568,92556,3271,59,619
"44","LAUDERDALE",2019,92729,160,14574316.36419,13821645.99796,54118688.31,2348640.736,1,0.00172545805519309,172.545805519309,157.171072309526,15717107.2309526,149.054190145046,14905419.0145046,583.622041756085,58362204.1756085,25.3280067292864,2532800.67292864,"Alabama","01","01077",1,92729,NA,NA,"01","077","01077",42280,1993,0.4601,48094,22873,90346,13175,26892,2160,636,2472,277,1199,2323,6,808,2538,373,1426,1421,2523,92556,47988,44568,92556,3271,59,619
"45","LAWRENCE",2016,33227,26,9379731.46126,7028205.575299,9616852.8,1065230.4,1,0.000782496162759202,78.2496162759202,282.292456774912,28229245.6774912,211.52091899055,21152091.899055,289.428862070003,28942886.2070003,32.0591807867096,3205918.07867096,"Alabama","01","01079",1,33244,NA,NA,"01","079","01079",13137,692,0.4409,44886,9605,32753,5906,9740,813,295,1588,99,802,855,56,317,1535,190,830,401,829,33058,17103,15955,33058,1045,9,260
"46","LAWRENCE",2017,33063,38,7494382.83938,5441867.74413,11138700.99,1048558.784,1,0.0011493209932553,114.93209932553,226.669777073466,22666977.7073466,164.590864232828,16459086.4232828,336.893233826332,33689323.3826332,31.7139637661434,3171396.37661434,"Alabama","01","01079",1,33049,NA,NA,"01","079","01079",13137,692,0.4409,44886,9605,32753,5906,9740,813,295,1588,99,802,855,56,317,1535,190,830,401,829,33058,17103,15955,33058,1045,9,260
"47","LAWRENCE",2018,32941,27,6785826.29969,4971085.0031,13731431.76,998186.176,1,0.000819647248110258,81.9647248110258,205.999401951671,20599940.1951671,150.908746033818,15090874.6033818,416.849268692511,41684926.8692511,30.3022426763001,3030224.26763001,"Alabama","01","01079",1,32957,NA,NA,"01","079","01079",13137,692,0.4409,44886,9605,32753,5906,9740,813,295,1588,99,802,855,56,317,1535,190,830,401,829,33058,17103,15955,33058,1045,9,260
"48","LAWRENCE",2019,32924,55,5638468.793065,4459025.44059,16928068.62789,590554.432,1,0.00167051391082493,167.051391082493,171.257100992133,17125710.0992133,135.433891404143,13543389.1404143,514.155893205261,51415589.3205261,17.9368980682785,1793689.80682785,"Alabama","01","01079",1,32924,NA,NA,"01","079","01079",13137,692,0.4409,44886,9605,32753,5906,9740,813,295,1588,99,802,855,56,317,1535,190,830,401,829,33058,17103,15955,33058,1045,9,260
"49","LIMESTONE",2016,92847,57,39737652.7517,15428845.41923,84877784.7,2702644.256,1,0.000613913212058548,61.3913212058548,427.990702464269,42799070.2464269,166.1749482399,16617494.82399,914.168305922647,91416830.5922647,29.1085792325008,2910857.92325008,"Alabama","01","01083",1,92753,NA,NA,"01","083","01083",43207,2697,0.4454,59686,20044,91626,12436,27668,2280,1038,3398,301,1356,1814,28,699,2610,614,1267,1291,2593,94727,47436,47291,94727,3737,223,739
"50","LIMESTONE",2017,94130,62,32781931.25069,14407615.59862,105841829.55,1991971.904,1,0.000658663550409009,65.8663550409009,348.262310110379,34826231.0110379,153.060826501859,15306082.6501859,1124.42185859981,112442185.859981,21.161923977478,2116192.3977478,"Alabama","01","01083",1,94402,NA,NA,"01","083","01083",43207,2697,0.4454,59686,20044,91626,12436,27668,2280,1038,3398,301,1356,1814,28,699,2610,614,1267,1291,2593,94727,47436,47291,94727,3737,223,739
"51","LIMESTONE",2018,96177,31,27683608.07733,13367977.06598,115262790.1641,1795847.872,1,0.000322322384769747,32.2322384769748,287.840212081163,28784021.2081163,138.993491853354,13899349.1853354,1198.44443228735,119844443.228735,18.672321573765,1867232.1573765,"Alabama","01","01083",1,96174,NA,NA,"01","083","01083",43207,2697,0.4454,59686,20044,91626,12436,27668,2280,1038,3398,301,1356,1814,28,699,2610,614,1267,1291,2593,94727,47436,47291,94727,3737,223,739
"52","LIMESTONE",2019,98915,35,24831476.79165,12122465.795645,119296304.22,2353908.752,1,0.000353839154829904,35.3839154829904,251.038536032452,25103853.6032452,122.554372902442,12255437.2902442,1206.04867027246,120604867.027246,23.7972880958399,2379728.80958399,"Alabama","01","01083",1,98915,NA,NA,"01","083","01083",43207,2697,0.4454,59686,20044,91626,12436,27668,2280,1038,3398,301,1356,1814,28,699,2610,614,1267,1291,2593,94727,47436,47291,94727,3737,223,739
"53","MADISON",2016,356729,302,136147661.7452,67527505.52853,191811994.41,12935462.1344,1,0.000846581018083755,84.6581018083755,381.655715529716,38165571.5529716,189.296372115892,18929637.2115892,537.696667246005,53769666.7246005,36.261313586504,3626131.3586504,"Alabama","01","01089",16,356967,NA,4.48220703874588,"01","089","01089",186248,9338,0.462,65449,51126,352884,44038,109598,9012,2778,9773,1449,4455,6478,118,2913,8459,2338,4029,4289,10826,362276,185341,176935,362276,13241,159,2822
"54","MADISON",2017,361762,471,117518944.3294,60335445.32883,212388159.135,10322200.1896,1,0.00130196095775676,130.196095775676,324.851544190379,32485154.4190379,166.782153263278,16678215.3263278,587.093611642461,58709361.1642461,28.5331245116955,2853312.45116955,"Alabama","01","01089",20,361046,5.54,5.53946034577312,"01","089","01089",186248,9338,0.462,65449,51126,352884,44038,109598,9012,2778,9773,1449,4455,6478,118,2913,8459,2338,4029,4289,10826,362276,185341,176935,362276,13241,159,2822
"55","MADISON",2018,367004,279,93981879.983925,50963590.422083,237907246.02,7335309.8,1,0.000760209697986943,76.0209697986943,256.078625802239,25607862.5802239,138.863855494989,13886385.5494989,648.241561454371,64824156.1454371,19.9870023215006,1998700.23215006,"Alabama","01","01089",12,366519,NA,3.27404582027126,"01","089","01089",186248,9338,0.462,65449,51126,352884,44038,109598,9012,2778,9773,1449,4455,6478,118,2913,8459,2338,4029,4289,10826,362276,185341,176935,362276,13241,159,2822
"56","MADISON",2019,372909,118,79977810.2208,44007213.61183,257626344.408,5509137.296,1,0.000316431086404458,31.6431086404458,214.470045562859,21447004.5562859,118.010596718851,11801059.6718851,690.85579701214,69085579.701214,14.7734093197,1477340.93197,"Alabama","01","01089",33,372909,8.85,8.84934394181959,"01","089","01089",186248,9338,0.462,65449,51126,352884,44038,109598,9012,2778,9773,1449,4455,6478,118,2913,8459,2338,4029,4289,10826,362276,185341,176935,362276,13241,159,2822
"57","MARION",2016,29960,17,21472383.89009,12146598.24817,49062757.56,4774342.976,1,0.000567423230974633,56.7423230974633,716.701731978972,71670173.1978972,405.42717784279,40542717.784279,1637.60873030708,163760873.030708,159.357242189586,15935724.2189586,"Alabama","01","01093",0,29998,NA,0,"01","093","01093",12535,684,0.4587,35930,7408,29386,5137,8205,793,356,1544,86,968,1009,0,414,1728,264,661,605,774,29866,15085,14781,29866,1061,0,81
"58","MARION",2017,29792,23,19358868.44361,10636259.93453,61105711.17,3168608.768,1,0.000772019334049409,77.2019334049409,649.80090103417,64980090.103417,357.017317888359,35701731.7888359,2051.07784539474,205107784.539474,106.357705692803,10635770.5692803,"Alabama","01","01093",1,29833,NA,NA,"01","093","01093",12535,684,0.4587,35930,7408,29386,5137,8205,793,356,1544,86,968,1009,0,414,1728,264,661,605,774,29866,15085,14781,29866,1061,0,81
"59","MARION",2018,29750,28,15576058.80221,9708683.73095,74564985.24,2505920.976,1,0.000941176470588235,94.1176470588235,523.565001754958,52356500.1754958,326.342310284034,32634231.0284034,2506.38605848739,250638605.848739,84.2326378487395,8423263.78487395,"Alabama","01","01093",0,29763,NA,0,"01","093","01093",12535,684,0.4587,35930,7408,29386,5137,8205,793,356,1544,86,968,1009,0,414,1728,264,661,605,774,29866,15085,14781,29866,1061,0,81
"60","MARION",2019,29709,32,13671550.81723,8551377.90964,83386576.7618,2162748.64,1,0.00107711467905349,107.711467905349,460.182127208253,46018212.7208253,287.837958518967,28783795.8518967,2806.77830831734,280677830.831734,72.7977596014676,7279775.96014676,"Alabama","01","01093",1,29709,NA,NA,"01","093","01093",12535,684,0.4587,35930,7408,29386,5137,8205,793,356,1544,86,968,1009,0,414,1728,264,661,605,774,29866,15085,14781,29866,1061,0,81
"61","MARSHALL",2016,95113,79,44277470.2509,35326487.16414,95295571.98,11041654.208,1,0.000830590981253877,83.0590981253877,465.524904596638,46552490.4596638,371.415970100197,37141597.0100197,1001.91952708883,100191952.708883,116.089853206186,11608985.3206186,"Alabama","01","01095",0,95157,NA,0,"01","095","01095",40942,1749,0.4707,45983,19920,94283,19147,26613,2059,665,3313,236,1484,1866,3,613,2791,404,1343,1242,3347,95643,48413,47230,95643,5098,121,638
"62","MARSHALL",2017,95572,81,37085605.7229,32145574.6663,139421992.71,6625733.088,1,0.00084752856485163,84.752856485163,388.038397468924,38803839.7468924,336.349293373582,33634929.3373582,1458.81631346001,145881631.346001,69.3271364834889,6932713.64834889,"Alabama","01","01095",1,95548,NA,NA,"01","095","01095",40942,1749,0.4707,45983,19920,94283,19147,26613,2059,665,3313,236,1484,1866,3,613,2791,404,1343,1242,3347,95643,48413,47230,95643,5098,121,638
"63","MARSHALL",2018,96170,38,32429287.887375,29525543.37794,165555074.91,4878826.784,1,0.000395133617552251,39.5133617552251,337.20794309426,33720794.309426,307.014072766351,30701407.2766351,1721.48356982427,172148356.982427,50.7312756992825,5073127.56992825,"Alabama","01","01095",1,96109,NA,NA,"01","095","01095",40942,1749,0.4707,45983,19920,94283,19147,26613,2059,665,3313,236,1484,1866,3,613,2791,404,1343,1242,3347,95643,48413,47230,95643,5098,121,638
"64","MARSHALL",2019,96774,16,29522978.25072,26429215.71921,187751904.435,3829713.472,1,0.000165333664000661,16.5333664000661,305.071385400211,30507138.5400211,273.102441970054,27310244.1970054,1940.10689270879,194010689.270879,39.5737850249034,3957378.50249034,"Alabama","01","01095",1,96774,NA,NA,"01","095","01095",40942,1749,0.4707,45983,19920,94283,19147,26613,2059,665,3313,236,1484,1866,3,613,2791,404,1343,1242,3347,95643,48413,47230,95643,5098,121,638
"65","MORGAN",2016,119006,79,50208262.55576,29591042.25182,156031760.01,4072918.72,1,0.000663832075693663,66.3832075693662,421.896900624842,42189690.0624842,248.651683543855,24865168.3543855,1311.12515343764,131112515.343764,34.2244821269516,3422448.21269516,"Alabama","01","01103",1,119012,NA,NA,"01","103","01103",54681,2778,0.4526,52156,25075,117005,17126,34263,2371,833,3927,532,1985,2732,9,1357,3684,801,1745,1877,3705,119213,60501,58712,119213,4942,32,961
"66","MORGAN",2017,118918,93,38349009.43478,26374387.58726,125984930.64,3547762.816,1,0.000782051497670664,78.2051497670664,322.482798523184,32248279.8523184,221.786336696379,22178633.6696379,1059.42692140803,105942692.140803,29.8336905766999,2983369.05766999,"Alabama","01","01103",1,118818,NA,NA,"01","103","01103",54681,2778,0.4526,52156,25075,117005,17126,34263,2371,833,3927,532,1985,2732,9,1357,3684,801,1745,1877,3705,119213,60501,58712,119213,4942,32,961
"67","MORGAN",2018,119203,90,32947244.00522,24033201.0656,144972293.7,2692197.664,1,0.00075501455500281,75.501455500281,276.396097457447,27639609.7457447,201.615740087078,20161574.0087078,1216.17990906269,121617990.906269,22.5849824584952,2258498.24584952,"Alabama","01","01103",15,119089,NA,12.5956217618756,"01","103","01103",54681,2778,0.4526,52156,25075,117005,17126,34263,2371,833,3927,532,1985,2732,9,1357,3684,801,1745,1877,3705,119213,60501,58712,119213,4942,32,961
"68","MORGAN",2019,119679,57,26833772.89825,20884805.03922,190193140.17,2068317.888,1,0.000476274033038378,47.6274033038378,224.214548068166,22421454.8068166,174.506847811395,17450684.7811395,1589.19392850876,158919392.850876,17.2822123179505,1728221.23179505,"Alabama","01","01103",1,119679,NA,NA,"01","103","01103",54681,2778,0.4526,52156,25075,117005,17126,34263,2371,833,3927,532,1985,2732,9,1357,3684,801,1745,1877,3705,119213,60501,58712,119213,4942,32,961
"69","PICKENS",2016,20325,9,3501733.68646,3395487.848312,2352709.89,2025708.672,1,0.00044280442804428,44.280442804428,172.287020244034,17228702.0244034,167.059672733678,16705967.2733678,115.754484132841,11575448.4132841,99.6658633210332,9966586.33210332,"Alabama","01","01107",0,20324,NA,0,"01","107","01107",7819,802,0.4907,39848,5388,18506,4204,4830,331,207,914,55,479,691,0,360,843,227,488,393,577,20243,10606,9637,20243,724,4,225
"70","PICKENS",2017,20204,9,3079912.60875,2978780.393732,2082663,1570244.416,1,0.000445456345278163,44.5456345278163,152.440734941101,15244073.4941101,147.435180842011,14743518.0842011,103.081716491784,10308171.6491784,77.7194820827559,7771948.20827559,"Alabama","01","01107",0,20176,NA,0,"01","107","01107",7819,802,0.4907,39848,5388,18506,4204,4830,331,207,914,55,479,691,0,360,843,227,488,393,577,20243,10606,9637,20243,724,4,225
"71","PICKENS",2018,19980,3,2951251.45171,2660077.54812,2562285,1527062.784,1,0.00015015015015015,15.015015015015,147.710282868368,14771028.2868368,133.13701442042,13313701.442042,128.242492492492,12824249.2492492,76.4295687687688,7642956.87687688,"Alabama","01","01107",0,19938,NA,0,"01","107","01107",7819,802,0.4907,39848,5388,18506,4204,4830,331,207,914,55,479,691,0,360,843,227,488,393,577,20243,10606,9637,20243,724,4,225
"72","PICKENS",2019,19930,2,2696299.41375,2301953.352832,4924057.8,1575932.8,1,0.000100351229302559,10.0351229302559,135.288480368791,13528848.0368791,115.501924376919,11550192.4376919,247.067626693427,24706762.6693427,79.0733968891119,7907339.68891119,"Alabama","01","01107",0,19930,NA,0,"01","107","01107",7819,802,0.4907,39848,5388,18506,4204,4830,331,207,914,55,479,691,0,360,843,227,488,393,577,20243,10606,9637,20243,724,4,225
"73","SHELBY",2016,211282,147,66685938.051555,31295744.84515,142500350.49,15206714.016,1,0.000695752596056455,69.5752596056455,315.625268842377,31562526.8842377,148.123100146487,14812310.0146487,674.45570607056,67445570.607056,71.9735425450346,7197354.25450346,"Alabama","01","01117",28,210622,13.29,13.2939578961362,"01","117","01117",110852,4013,0.4392,77799,28835,210328,15742,64279,5860,1465,4424,536,2379,3180,0,1535,4374,1309,2224,2415,6165,213432,110086,103346,213432,5185,77,1369
"74","SHELBY",2017,213633,118,59895553.238423,28289039.580953,157708701.21,11811625.28,1,0.000552349122092561,55.2349122092561,280.366578377044,28036657.8377044,132.418865910009,13241886.5910009,738.222564912724,73822256.4912724,55.2893292702906,5528932.92702906,"Alabama","01","01117",27,213605,12.64,12.640153554458,"01","117","01117",110852,4013,0.4392,77799,28835,210328,15742,64279,5860,1465,4424,536,2379,3180,0,1535,4374,1309,2224,2415,6165,213432,110086,103346,213432,5185,77,1369
"75","SHELBY",2018,215583,129,49192921.48157,25404714.13323,170082498.0042,9133111.936,1,0.00059837742308067,59.837742308067,228.185531705051,22818553.1705051,117.841917652273,11784191.7652273,788.942068735475,78894206.8735475,42.3647130617906,4236471.30617906,"Alabama","01","01117",24,215707,11.13,11.126203600254,"01","117","01117",110852,4013,0.4392,77799,28835,210328,15742,64279,5860,1465,4424,536,2379,3180,0,1535,4374,1309,2224,2415,6165,213432,110086,103346,213432,5185,77,1369
"76","SHELBY",2019,217702,143,42107074.40102,22791260.218712,172528890.075,7697590.992,1,0.000656861213953018,65.6861213953018,193.416111937511,19341611.1937511,104.690173809666,10469017.3809666,792.500252983436,79250025.2983436,35.3583843602723,3535838.43602723,"Alabama","01","01117",22,217702,10.11,10.1055571377387,"01","117","01117",110852,4013,0.4392,77799,28835,210328,15742,64279,5860,1465,4424,536,2379,3180,0,1535,4374,1309,2224,2415,6165,213432,110086,103346,213432,5185,77,1369
"77","TUSCALOOSA",2016,206464,91,44196966.84323,37123689.401914,39402028.02,39342795.648,1,0.000440754804711717,44.0754804711717,214.066214174045,21406621.4174045,179.807082115594,17980708.2115594,190.842122694513,19084212.2694513,190.555233106014,19055523.3106014,"Alabama","01","01125",1,206102,NA,NA,"01","125","01125",99449,5782,0.4677,53326,38580,196790,34749,62432,5411,1840,5486,598,2411,3111,0,2399,5320,952,2059,1754,6371,207305,107299,100006,207305,6941,96,1123
"78","TUSCALOOSA",2017,207618,87,40220186.19078,33103900.701868,44540174.43,35545486.01968,1,0.000419038811663729,41.9038811663729,193.722057773314,19372205.7773314,159.446197833849,15944619.7833849,214.529445568303,21452944.5568303,171.20618645628,17120618.645628,"Alabama","01","01125",14,207811,NA,6.73689073244438,"01","125","01125",99449,5782,0.4677,53326,38580,196790,34749,62432,5411,1840,5486,598,2411,3111,0,2399,5320,952,2059,1754,6371,207305,107299,100006,207305,6941,96,1123
"79","TUSCALOOSA",2018,208319,51,36152772.537025,28855509.81599,55404710.2358,30897477.312,1,0.000244816843398826,24.4816843398826,173.545248090789,17354524.8090789,138.515977015971,13851597.7015971,265.960907242258,26596090.7242258,148.318095382562,14831809.5382562,"Alabama","01","01125",12,208911,NA,5.74407283484355,"01","125","01125",99449,5782,0.4677,53326,38580,196790,34749,62432,5411,1840,5486,598,2411,3111,0,2399,5320,952,2059,1754,6371,207305,107299,100006,207305,6941,96,1123
"80","TUSCALOOSA",2019,209355,51,31060136.727355,25389456.10452,71679680.49,25948127.088,1,0.000243605359317905,24.3605359317905,148.361093488835,14836109.3488835,121.274658377015,12127465.8377015,342.383418069786,34238341.8069786,123.943192605861,12394319.2605861,"Alabama","01","01125",17,209355,NA,8.12017864393017,"01","125","01125",99449,5782,0.4677,53326,38580,196790,34749,62432,5411,1840,5486,598,2411,3111,0,2399,5320,952,2059,1754,6371,207305,107299,100006,207305,6941,96,1123
"81","WALKER",2016,64533,82,52572529.0633,28173787.32115,95429725.86,18777901.168,1,0.00127066772039112,127.066772039112,814.661166586088,81466116.6586088,436.579537928657,43657953.7928657,1478.77405141555,147877405.141555,290.981376474052,29098137.6474052,"Alabama","01","01127",1,64967,NA,NA,"01","127","01127",26643,2229,0.4522,43629,16796,63036,11440,18213,1343,847,3539,474,1637,1708,31,734,3214,616,1497,1387,2049,64110,32657,31453,64110,2733,23,1119
"82","WALKER",2017,63895,85,45261154.49726,24613258.64483,118203448.14,13911980.576,1,0.00133030753580092,133.030753580092,708.367704785351,70836770.4785351,385.214158303936,38521415.8303936,1849.96397433289,184996397.433289,217.731912919634,21773191.2919634,"Alabama","01","01127",1,64058,NA,NA,"01","127","01127",26643,2229,0.4522,43629,16796,63036,11440,18213,1343,847,3539,474,1637,1708,31,734,3214,616,1497,1387,2049,64110,32657,31453,64110,2733,23,1119
"83","WALKER",2018,63669,73,41296075.778865,22647026.95103,152010613.7958,11362815.36,1,0.00114655483830436,114.655483830436,648.605691606041,64860569.1606041,355.699429094693,35569942.9094693,2387.51376330396,238751376.330396,178.466999010507,17846699.9010507,"Alabama","01","01127",1,63711,NA,NA,"01","127","01127",26643,2229,0.4522,43629,16796,63036,11440,18213,1343,847,3539,474,1637,1708,31,734,3214,616,1497,1387,2049,64110,32657,31453,64110,2733,23,1119
"84","WALKER",2019,63521,69,35919330.3676,20104875.397,168750062.07,8792130.88,1,0.00108625493931141,108.625493931141,565.471739544403,56547173.9544403,316.507539191763,31650753.9191763,2656.60273090789,265660273.090789,138.412979644527,13841297.9644527,"Alabama","01","01127",1,63521,NA,NA,"01","127","01127",26643,2229,0.4522,43629,16796,63036,11440,18213,1343,847,3539,474,1637,1708,31,734,3214,616,1497,1387,2049,64110,32657,31453,64110,2733,23,1119
"85","WINSTON",2016,23907,25,7997829.81757,8469391.96588,29299633.26,3086628.064,1,0.00104571882712176,104.571882712176,334.539248653951,33453924.8653951,354.264105319781,35426410.5319781,1225.5671251098,122556712.51098,129.109803153888,12910980.3153888,"Alabama","01","01133",0,23805,NA,0,"01","133","01133",9837,717,0.4752,35788,6556,23406,4127,6564,490,345,1190,199,493,604,4,361,1214,217,618,437,712,23784,12003,11781,23784,1087,12,401
"86","WINSTON",2017,23760,20,7594718.24732,7874473.9698,35727707.82,2546499.904,1,0.000841750841750842,84.1750841750842,319.643023877104,31964302.3877104,331.417254621212,33141725.4621212,1503.69140656566,150369140.656566,107.175921885522,10717592.1885522,"Alabama","01","01133",0,23722,NA,0,"01","133","01133",9837,717,0.4752,35788,6556,23406,4127,6564,490,345,1190,199,493,604,4,361,1214,217,618,437,712,23784,12003,11781,23784,1087,12,401
"87","WINSTON",2018,23693,30,7404248.76465,7042613.519185,47544525.15,1701034.3168,1,0.00126619676697759,126.619676697759,312.507861589921,31250786.1589921,297.244482302157,29724448.2302157,2006.69080108049,200669080.108049,71.7948050816697,7179480.50816697,"Alabama","01","01133",1,23660,NA,NA,"01","133","01133",9837,717,0.4752,35788,6556,23406,4127,6564,490,345,1190,199,493,604,4,361,1214,217,618,437,712,23784,12003,11781,23784,1087,12,401
"88","WINSTON",2019,23629,34,6723473.435465,6099934.59594,47739530.22,1426825.5872,1,0.00143890981421135,143.890981421135,284.543291525879,28454329.1525879,258.1545810631,25815458.10631,2020.37878115875,202037878.115875,60.3845100173516,6038451.00173516,"Alabama","01","01133",1,23629,NA,NA,"01","133","01133",9837,717,0.4752,35788,6556,23406,4127,6564,490,345,1190,199,493,604,4,361,1214,217,618,437,712,23784,12003,11781,23784,1087,12,401
