"Model_Index","Formula","Metric_1","Metric_2","Metric_3","Metric_4","Metric_5","Metric_6","Metric_7","Metric_8","Metric_9","Metric_10","Metric_11","Metric_12","Metric_13","Metric_14","Metric_15","Metric_16"
1,"Deaths ~ intervention2017 + poverty_rate_z + disability_rate_z +      noinsurance_rate_z + rural_factor",9.95623417924931,6.51566630849172,8.55149324781894,5.56929845340665,6.54473172796734,4.56776390152771,5.51699793521955,3.41756987693767,10.6789146866962,6.12001712409208,5.57370254510534,3.385718175306,13.4849991861178,7.93253040987563,6.70091176945361,4.04649611557808
2,"Deaths ~ (ER_annual_percapita_z) * intervention2017 + poverty_rate_z +      disability_rate_z + noinsurance_rate_z + rural_factor",10.0910049843166,6.72837346949163,8.55782808132556,5.80365240959457,6.58457826574982,4.68380600966153,5.17140731537326,3.30099619884531,10.7410752248366,6.25265454458465,4.88959867557869,3.20561280017373,13.9766429842641,8.08995310423831,5.49394217443303,3.55876370554711
3,"Deaths ~ (OXYCODONE_annual_percapita_z) * intervention2017 +      poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor",10.0275896111544,6.61052316104444,8.68310869785476,5.66628817874718,6.64306564340977,4.50448693868112,6.20830786348524,3.59767350266134,10.1025778151264,5.70461565539897,6.14351853090544,3.54340420569222,12.3940856786299,6.87628705330707,5.93415316624012,3.65561215983274
4,"Deaths ~ (BUPRENORPHINE_annual_percapita_z) * intervention2017 +      poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor",9.6455915669121,6.55000888465371,8.07932092049273,5.58040384215268,5.93703265732317,4.25998810180068,5.00843161369288,3.12496664543504,9.98200174649972,5.85157367486878,15.3549332547718,5.30769763358393,12.9364722671333,7.59991574975485,5.16146469418235,3.42734857808615
5,"Deaths ~ (METHADONE_annual_percapita_z) * intervention2017 +      poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor",9.02711484060771,5.97334285465135,8.25257729345013,5.38138799793265,6.63209912992943,4.52082614463916,6.08628364888096,3.81284142055484,8.95741976881772,5.32508249564681,5.77063387409018,3.51854529124294,12.0704614378001,7.13360951536373,6.71116048096727,4.21746804269786
6,"Deaths ~ (rural_factor) * intervention2017 + poverty_rate_z +      disability_rate_z + noinsurance_rate_z + rural_factor",10.0387613849974,7.09506038242201,8.88264908741516,6.18654408140298,5.82964486119751,3.92581101736485,5.81056236234215,3.3835049698434,10.3101301461635,6.11612627281415,5.86596483422805,3.44239772636545,7.23399094733964,5.24406591312508,6.3142805280777,3.77458988035916
7,"Deaths ~ (ER_annual_percapita_z + OXYCODONE_annual_percapita_z) *      intervention2017 + poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor",10.173223110793,6.83867715802732,8.66451391412195,5.89314149030412,6.67865411180539,4.51353281428897,5.91539797538,3.66147166921998,10.1871662733371,5.86759050244461,5.92772175279235,3.69584470777099,13.01779769835,7.95987912708227,5.89966724597205,3.97962129899505
8,"Deaths ~ (ER_annual_percapita_z + BUPRENORPHINE_annual_percapita_z) *      intervention2017 + poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor",9.81074919288205,6.76295009258227,8.45099924733448,5.88080506308151,6.06260888138411,4.41151443463499,5.0608985426731,3.30035714305994,10.1831803443132,6.05036156677116,5.08576786731946,3.32215019990688,13.8197827974236,8.02205209940646,5.08880226215704,3.37203050872058
9,"Deaths ~ (ER_annual_percapita_z + METHADONE_annual_percapita_z) *      intervention2017 + poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor",9.03306782601205,6.01263118718343,8.05012276062837,5.51479369183673,6.74360059729331,4.52148638965678,4896.26248896254,750.087812700664,8.97902519743234,5.4432190779807,5.75249781578276,3.8070867315873,12.7704805761292,7.97068049124445,6.6681933694797,4.20681909190267
10,"Deaths ~ (ER_annual_percapita_z + rural_factor) * intervention2017 +      poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor",10.0297515357919,7.2507967018783,9.03970083804903,6.34298412012261,5.97219063254973,4.12405179154281,5.88577944657725,3.73333155834427,10.2783016938161,6.34173776594648,5.92244214124433,3.75482164588446,5.91628510158088,4.32630111953573,6.10384002622296,3.83990984240232
11,"Deaths ~ (OXYCODONE_annual_percapita_z + BUPRENORPHINE_annual_percapita_z) *      intervention2017 + poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor",9.29868303642306,6.52338851361921,8.68852836283487,5.92292301964656,6.67873107544334,4.5706929623375,33805952322937.9,5155739922021.66,8.4514034081967,4.90173118147282,7.16310445550706,4.3744108777052,10.253797333843,5.94185230932006,6.92522429550887,4.37697079045812
12,"Deaths ~ (OXYCODONE_annual_percapita_z + METHADONE_annual_percapita_z) *      intervention2017 + poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor",9.26892022950286,6.13899926561493,8.42804989038778,5.52258892987242,6.98540015567093,4.63824904291784,6.40035233969501,3.8505561659968,8.9320747814173,5.27901282769129,6.37516702623911,3.85110289169667,11.7490392678161,6.69455225720669,5.84480259649928,3.4908556347987
13,"Deaths ~ (OXYCODONE_annual_percapita_z + rural_factor) * intervention2017 +      poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor",10.1389006347302,7.14583551058805,9.04986321684032,6.29341227175366,6.10607902340609,4.23122078530334,6.55018558157736,4.05552678577279,9.82207969152577,5.7908817962356,6.35438843169018,3.95130403218717,7.13187133042604,5.20970581706181,6.02418568866679,3.69909293891158
14,"Deaths ~ (BUPRENORPHINE_annual_percapita_z + METHADONE_annual_percapita_z) *      intervention2017 + poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor",8.41423853205519,5.98793527291787,7.5349082088167,5.3341023637802,6.18496820471781,4.27435610162617,5.50487304320892,3.47134974219482,8.30499692930496,5.01685361081325,5.52698604000554,3.49227702559958,10.4229910038894,6.33243224543158,5.62561461023123,3.62553253803804
15,"Deaths ~ (BUPRENORPHINE_annual_percapita_z + rural_factor) *      intervention2017 + poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor",9.95645929943492,7.13429727443943,8.77649720498664,6.143782401355,5.87733891299433,3.99059162951169,6.05026770786198,3.69705669019405,9.64441416942478,5.8550325099397,6.01100477421666,3.61530332639657,7.27866753776436,5.23725472156374,6.85566897630704,4.30276872292084
16,"Deaths ~ (METHADONE_annual_percapita_z + rural_factor) * intervention2017 +      poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor",8.96163377051296,6.47067706224531,8.55052977399461,6.03117018522928,6.35963224101315,4.42320107829194,6.92069727264727,4.18312770609901,8.9424252266466,5.42702790506755,10.6184072792108,5.09086443172962,7.21622652327345,5.16778956750325,6.59407565015761,3.93230479583161
17,"Deaths ~ (ER_annual_percapita_z + OXYCODONE_annual_percapita_z +      BUPRENORPHINE_annual_percapita_z) * intervention2017 + poverty_rate_z +      disability_rate_z + noinsurance_rate_z + rural_factor",9.44328352586421,6.70495616229999,9.08580310815578,6.19529647851553,6.85193607086224,4.76560611539488,7.3777372538327,4.46969163610926,8.72011570720034,5.11280680682846,7.21302794628076,4.331524054507,10.0906695198512,6.03884560354395,6.90306580225619,4.35615118170727
18,"Deaths ~ (ER_annual_percapita_z + OXYCODONE_annual_percapita_z +      METHADONE_annual_percapita_z) * intervention2017 + poverty_rate_z +      disability_rate_z + noinsurance_rate_z + rural_factor",9.33469265891642,6.19174269611629,8.19546262873113,5.66038694041529,7.09726439876877,4.63709575723926,6.66552500156887,4.01861238406375,9.102317985862,5.4662666742795,6.69065887139647,4.06735515689651,11.7948070657787,7.31206760434914,6.4895434595257,4.30563121815847
19,"Deaths ~ (ER_annual_percapita_z + OXYCODONE_annual_percapita_z +      rural_factor) * intervention2017 + poverty_rate_z + disability_rate_z +      noinsurance_rate_z + rural_factor",10.1057418009788,7.30595513479851,9.14947106179581,6.40589495417588,6.43188813203436,4.49078142646915,6.87116540865074,4.24280756513081,10.0391130753254,6.11883212933889,6.31579453740437,3.92349802799994,6.09646195988228,4.4769940428467,6.1127905850229,3.95614633921403
20,"Deaths ~ (ER_annual_percapita_z + BUPRENORPHINE_annual_percapita_z +      METHADONE_annual_percapita_z) * intervention2017 + poverty_rate_z +      disability_rate_z + noinsurance_rate_z + rural_factor",8.49083798104719,6.04517073815988,7.83711367106357,5.53233406897061,6.41110094293453,4.41973697941375,5.80744093909026,3.82605998113719,8.43743595570507,5.20337573809055,5.8921336156291,3.88753627281517,11.1356064801573,6.99408737280946,5.65518607325009,3.7767255740046
21,"Deaths ~ (ER_annual_percapita_z + BUPRENORPHINE_annual_percapita_z +      rural_factor) * intervention2017 + poverty_rate_z + disability_rate_z +      noinsurance_rate_z + rural_factor",10.0169589534179,7.30057453940718,9.25286288763215,6.43469717844407,6.04473713317539,4.22038731103548,6.33587396001664,4.08885382123118,9.79961500408533,6.12101765275456,7.65216599531617,4.58881818492867,6.13731578008614,4.42444831709998,6.38194367104597,3.99852726171942
22,"Deaths ~ (ER_annual_percapita_z + METHADONE_annual_percapita_z +      rural_factor) * intervention2017 + poverty_rate_z + disability_rate_z +      noinsurance_rate_z + rural_factor",8.900007932908,6.49157621203834,8.64847755017994,6.04017543842926,6.6809994810556,4.74316358715943,6.85829175164303,4.37583957992207,9.17103629685536,6.02769773883523,6.88698454626789,4.39880834981006,6.47227999721401,4.69877697827084,6.82624600758344,4.40459694963026
23,"Deaths ~ (OXYCODONE_annual_percapita_z + BUPRENORPHINE_annual_percapita_z +      METHADONE_annual_percapita_z) * intervention2017 + poverty_rate_z +      disability_rate_z + noinsurance_rate_z + rural_factor",8.64706579209952,6.18297379067865,8.6965708905034,6.09145843449206,6.92439761743419,4.75117360928458,7.21138816913954,4.38253424675454,8.12557873071594,4.74018743415316,7.19136148807996,4.37249780962542,10.0027886500335,5.83702740659499,7.18046654334206,4.66128224181497
24,"Deaths ~ (OXYCODONE_annual_percapita_z + BUPRENORPHINE_annual_percapita_z +      rural_factor) * intervention2017 + poverty_rate_z + disability_rate_z +      noinsurance_rate_z + rural_factor",9.95843455441033,6.97767540074503,9.66487866182742,6.48625853822486,7.01209806549472,4.92514714945932,14.1004776793745,6.24037841008343,8.591204088746,5.17569120697117,8.20884643500418,4.89483828825714,6.28960108289477,4.66636037839046,6.67703545503092,4.07680457791646
25,"Deaths ~ (OXYCODONE_annual_percapita_z + METHADONE_annual_percapita_z +      rural_factor) * intervention2017 + poverty_rate_z + disability_rate_z +      noinsurance_rate_z + rural_factor",9.12625018273469,6.61057489150063,8.8109280282782,6.23516247503915,6.62055977720425,4.68003575880594,7.11286800106896,4.44128198792361,8.75697011347344,5.32987043337899,7.17373107821927,4.55210593857685,7.10693182874299,5.11715897688582,6.52258665758397,4.03320226993392
26,"Deaths ~ (BUPRENORPHINE_annual_percapita_z + METHADONE_annual_percapita_z +      rural_factor) * intervention2017 + poverty_rate_z + disability_rate_z +      noinsurance_rate_z + rural_factor",8.75723765540287,6.37570005424693,8.35798982477482,5.82964017497407,6.56383643299642,4.58604423127031,24373.1697971876,3720.97784659051,8.41154424896585,5.33519558404724,6.75206918494048,4.15050853450137,7.37879595443586,5.20846686328447,6.69122588780225,4.18094694552795
27,"Deaths ~ (ER_annual_percapita_z + OXYCODONE_annual_percapita_z +      BUPRENORPHINE_annual_percapita_z + METHADONE_annual_percapita_z) *      intervention2017 + poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor",8.76098423958562,6.24055108391432,8.96472389559475,6.32457886209835,7.1474618370772,4.89750384880626,13397907205.8265,2043161698.88332,8.38583662694154,4.99468496009354,7.7737976257416,4.74797229820572,10.2669113153992,6.5225673972331,9.55080424117149,5.68464155214282
28,"Deaths ~ (ER_annual_percapita_z + OXYCODONE_annual_percapita_z +      BUPRENORPHINE_annual_percapita_z + rural_factor) * intervention2017 +      poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor",10.1379943221165,7.13883267520192,10.1869512791425,6.86199387488109,7.38383345358717,5.14189697065212,8.71302813716813,5.14359843788379,9.35147456810006,5.98468620973619,8.79610008262757,5.30597063295218,6.11395643104533,4.60613380019497,7.4440090470805,4.73709881829773
29,"Deaths ~ (ER_annual_percapita_z + OXYCODONE_annual_percapita_z +      METHADONE_annual_percapita_z + rural_factor) * intervention2017 +      poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor",9.06982877031383,6.65524276590435,8.8207694248112,6.26680468755879,7.01536157799119,5.00538000007801,7.74926097434144,4.89821895527837,9.19948046956199,6.03191142548054,7.22685822452375,4.68162490301775,6.38064796382554,4.65385902975801,7.00062854561128,4.50808014993851
30,"Deaths ~ (ER_annual_percapita_z + BUPRENORPHINE_annual_percapita_z +      METHADONE_annual_percapita_z + rural_factor) * intervention2017 +      poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor",8.85850279797505,6.43452934362693,8.92046140770815,6.2492973059569,6.91476293727276,4.88261623369557,7.30967989520857,4.69919796042517,8.90426558224757,5.99518123580902,7.32345618696556,4.72577650774365,6.7475610041165,4.83932829579558,7.13918833685099,4.59900579501904
31,"Deaths ~ (OXYCODONE_annual_percapita_z + BUPRENORPHINE_annual_percapita_z +      METHADONE_annual_percapita_z + rural_factor) * intervention2017 +      poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor",9.21849925153368,6.59287329117821,9.76378067578804,6.73377854445694,7.34285078610046,5.18200521570548,8.40449522157644,5.0871351823677,8.34525984927394,5.2384453941493,8.42612701729866,5.14093588615893,6.80709211545709,4.90773841878021,7.50191037208506,4.79229814669009
32,"Deaths ~ (ER_annual_percapita_z + OXYCODONE_annual_percapita_z +      BUPRENORPHINE_annual_percapita_z + METHADONE_annual_percapita_z +      rural_factor) * intervention2017 + poverty_rate_z + disability_rate_z +      noinsurance_rate_z + rural_factor",9.38844558666764,6.80008438048159,10.1242604360597,7.03435660132414,7.75837653326192,5.46705868949212,9.21887074449057,5.49233024672658,9.18050320421537,6.00998393575122,9.20420138689861,5.47725074958907,6.33874200187285,4.57741517390555,7.80902514571931,4.82557460379783
33,"Deaths ~ intervention2017 + poverty_rate_z + disability_rate_z +      noinsurance_rate_z + rural_factor",9.95623417924931,6.51566630849172,8.55149324781894,5.56929845340665,6.54473172796734,4.56776390152771,5.51699793521955,3.41756987693767,10.6789146866962,6.12001712409208,5.57370254510534,3.385718175306,13.4849991861178,7.93253040987563,6.70091176945361,4.04649611557808
34,"Deaths ~ (ER_annual_percapita_z) + intervention2017 + poverty_rate_z +      disability_rate_z + noinsurance_rate_z + rural_factor",9.93047529053766,6.64546235683003,8.34786545565868,5.68750208590721,6.48223839558759,4.60999888913363,5.29255999255379,3.45013521067886,10.6942053504697,6.16403566616,5.33406907908987,3.4935838291838,13.4906474948332,7.74946169227694,6.44142943243426,3.93771195494922
35,"Deaths ~ (OXYCODONE_annual_percapita_z) + intervention2017 +      poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor",9.9431963038737,6.54566548994687,8.62615770968366,5.59895819540074,6.50222862136262,4.41669307969733,44.6828048021686,10.0735882082936,10.0959035252324,5.64103795004565,5.8608703113156,3.43292780610657,12.4799133677483,7.00057922609939,6.73156747238208,3.82448048425237
