"County","drug","mean","total","avg_percapita"
"BLOUNT","BUPRENORPHINE",0.0592533491991786,86.56914318,1.0263012039911
"BLOUNT","HYDROCODONE",0.0143454173940637,20.958654812727,0.248620697885695
"BLOUNT","METHADONE",0.00363552479671458,5.311501728,0.0629949714140999
"BLOUNT","OXYCODONE",0.0221309232654209,32.33327889078,0.383483934081451
"CHEROKEE","BUPRENORPHINE",0.0396737521848049,57.963351942,1.5272020255859
"CHEROKEE","HYDROCODONE",0.0178958970929952,26.145905652866,0.690114834711841
"CHEROKEE","METHADONE",0.00293120775359343,4.282494528,0.11334135942026
"CHEROKEE","OXYCODONE",0.0326091128374846,47.641913855565,1.25789237173648
"COLBERT","BUPRENORPHINE",0.153300777227926,223.97243553,2.79230759695688
"COLBERT","HYDROCODONE",0.0622770186868104,90.98672430143,1.13578305039083
"COLBERT","METHADONE",0.013290750329911,19.417786232,0.242587114152635
"COLBERT","OXYCODONE",0.0639686150674367,93.458146613525,1.16757851134086
"CULLMAN","BUPRENORPHINE",0.183587018777481,268.2206344339,2.20679902524025
"CULLMAN","HYDROCODONE",0.0535873646470637,78.29113974936,0.645381918446954
"CULLMAN","METHADONE",0.0199197076533881,29.1026928816,0.240208266683778
"CULLMAN","OXYCODONE",0.0756779047234908,110.56541880102,0.911480529007529
"ETOWAH","BUPRENORPHINE",0.429906803368652,628.0938397216,4.18763295709788
"ETOWAH","HYDROCODONE",0.0773174829008487,112.96084251814,0.752809138268309
"ETOWAH","METHADONE",0.0307624135578371,44.943886208,0.299372341982888
"ETOWAH","OXYCODONE",0.137243302965318,200.51246563233,1.33614424181588
"FAYETTE","BUPRENORPHINE",0.00745514184804928,10.89196224,0.454454246580424
"FAYETTE","HYDROCODONE",0.00577477954521287,8.436952915556,0.350877338019165
"FAYETTE","METHADONE",0.00863757770294319,12.619501024,0.524771069298426
"FAYETTE","OXYCODONE",0.00819001071624298,11.965605656431,0.497384469366872
"FRANKLIN","BUPRENORPHINE",0.0998598006652977,145.895168772,3.17642391669541
"FRANKLIN","HYDROCODONE",0.0287150693641136,41.95271634097,0.912276022279261
"FRANKLIN","METHADONE",0.0039468868019165,5.7664016176,0.125306453466119
"FRANKLIN","OXYCODONE",0.0275450611358919,40.243334319538,0.874914495177276
"JACKSON","BUPRENORPHINE",0.0351280601232033,51.32209584,0.67879371515332
"JACKSON","HYDROCODONE",0.0390639359697467,57.0724104518,0.754343235633128
"JACKSON","METHADONE",0.00333736697604381,4.875893152,0.0644128009130732
"JACKSON","OXYCODONE",0.0547791709768309,80.03236879715,1.05797091536413
"JEFFERSON","BUPRENORPHINE",1.93892108335661,2832.763702784,2.94023972419918
"JEFFERSON","HYDROCODONE",0.338265053827497,494.205243641973,0.512856144039197
"JEFFERSON","METHADONE",0.106033255908008,154.9145868816,0.160741757737851
"JEFFERSON","OXYCODONE",0.471257739512076,688.507557427143,0.714479274269923
"LAMAR","BUPRENORPHINE",0.0163805923613963,23.93204544,1.18194094168446
"LAMAR","HYDROCODONE",0.00593161007704381,8.666082322561,0.427341841563997
"LAMAR","METHADONE",0.00423831733880903,6.192181632,0.305473654841889
"LAMAR","OXYCODONE",0.0082746591360438,12.08927699776,0.596283122265572
"LAUDERDALE","BUPRENORPHINE",0.132962037556468,194.25753687,1.4360626991937
"LAUDERDALE","HYDROCODONE",0.0460594752494798,67.29289333949,0.497589542239562
"LAUDERDALE","METHADONE",0.00830928821355236,12.13987008,0.0897764776427105
"LAUDERDALE","OXYCODONE",0.0518459614131964,75.74694962468,0.5601311288282
"LAWRENCE","BUPRENORPHINE",0.0351916866378439,51.41505417789,1.06593241465298
"LAWRENCE","HYDROCODONE",0.0149898588385483,21.900183763119,0.453425339258727
"LAWRENCE","METHADONE",0.00253424352635181,3.702529792,0.0766682308596851
"LAWRENCE","OXYCODONE",0.0200536683048563,29.298409393395,0.606583666520192
"LIMESTONE","BUPRENORPHINE",0.291087411796099,425.2787086341,3.04112475502053
"LIMESTONE","HYDROCODONE",0.0378692018340007,55.326903879475,0.397524736136893
"LIMESTONE","METHADONE",0.00605364324709103,8.844372784,0.0634771477604381
"LIMESTONE","OXYCODONE",0.0855815666470705,125.03466887137,0.900158631537303
"MADISON","BUPRENORPHINE",0.615834184786448,899.733743973,1.68643917683984
"MADISON","HYDROCODONE",0.152521392807168,222.833754891273,0.419543448031498
"MADISON","METHADONE",0.0247105471731691,36.10210942,0.0681415809176919
"MADISON","OXYCODONE",0.292694247966684,427.626296279325,0.805650876834185
"MARION","BUPRENORPHINE",0.183518159296235,268.1200307318,6.16143117214237
"MARION","HYDROCODONE",0.0280923475860986,41.04291982329,0.942248298799452
"MARION","METHADONE",0.00863218436687201,12.61162136,0.289353419086927
"MARION","OXYCODONE",0.0479663668399316,70.07886195314,1.60865829017454
"MARSHALL","BUPRENORPHINE",0.402480865184805,588.024544035,4.19050397197741
"MARSHALL","HYDROCODONE",0.0844810547074538,123.42682092759,0.881507035023956
"MARSHALL","METHADONE",0.0180533385023956,26.375927552,0.188721458225188
"MARSHALL","OXYCODONE",0.0980940055522895,143.315342111895,1.02384848086771
"MORGAN","BUPRENORPHINE",0.422438141355236,617.18212452,3.54272820834634
"MORGAN","HYDROCODONE",0.0690509486268994,100.8834359439,0.579439156810756
"MORGAN","METHADONE",0.00847446754825462,12.381197088,0.0711330372867899
"MORGAN","OXYCODONE",0.101532025252574,148.33828889401,0.852149448759069
"PICKENS","BUPRENORPHINE",0.00815996967145791,11.92171569,0.406670992306639
"PICKENS","HYDROCODONE",0.00775927388295414,11.336299142996,0.385444074185489
"PICKENS","METHADONE",0.00458518047364819,6.698948672,0.227849631123888
"PICKENS","OXYCODONE",0.0083704292680835,12.22919716067,0.415966131707734
"SHELBY","BUPRENORPHINE",0.439986611758522,642.8204397792,2.04936385536756
"SHELBY","HYDROCODONE",0.0737719088145414,107.780758778045,0.344335426095441
"SHELBY","METHADONE",0.0300130336919918,43.849042224,0.14030524932675
"SHELBY","OXYCODONE",0.149131750289232,217.881487172568,0.696504784958985
"TUSCALOOSA","BUPRENORPHINE",0.144439831058042,211.0265931758,0.693850714295003
"TUSCALOOSA","HYDROCODONE",0.0851968213718631,124.472556024292,0.41002321379755
"TUSCALOOSA","METHADONE",0.0901669309155921,131.73388606768,0.43396489223614
"TUSCALOOSA","OXYCODONE",0.103785121354134,151.63006229839,0.499448742985429
"WALKER","BUPRENORPHINE",0.365772655623409,534.3938498658,5.73090658457221
"WALKER","HYDROCODONE",0.0653928462108214,95.53894831401,1.02258772382067
"WALKER","METHADONE",0.0361703134729637,52.844827984,0.565087794692676
"WALKER","OXYCODONE",0.119814572010284,175.049089707025,1.87344716118344
"WINSTON","BUPRENORPHINE",0.10972717073922,160.31139645,4.62445456119781
"WINSTON","HYDROCODONE",0.0201823504796749,29.486414050805,0.849473253468857
"WINSTON","METHADONE",0.0059965693853525,8.760987872,0.252200575000684
"WINSTON","OXYCODONE",0.0203424163347057,29.720270265005,0.85642260482204
